"GeneName","p.Weighted","q.Weighted","cor.Weighted","Z.Weighted","p.Standard","q.Standard","cor.Standard","Z.Standard"
"Gene1",0.925900518871733,0.999981955022432,-0.0134934248700391,-0.0934937014762087,0.922115869649409,0.997010540963244,-0.0141846831745691,-0.0982842559413894
"Gene2",0.996981449831976,0.999981955022432,0.000548909197808207,0.00380295505030046,0.541142783710176,0.991063703624337,0.088488923041763,0.615483685920102
"Gene3",0.94104697298433,0.999981955022432,0.0107297702570498,0.0743423085177082,0.886077955521314,0.996962345947714,0.0207847864206342,0.14403233929521
"Gene4",0.957419829556676,0.999981955022432,-0.00774654904052421,-0.0536712764906144,0.866211364049465,0.996962345947714,-0.0244402644218447,-0.169377713373165
"Gene5",0.94730751967949,0.999981955022432,-0.00958861317125519,-0.0664349148801023,0.67892853697989,0.991063703624337,0.0600027786437993,0.416461821548433
"Gene6",0.936124714839655,0.999981955022432,-0.0116274355763195,-0.0805626828306691,0.440217230484871,0.991063703624337,-0.111634461138658,-0.778291068556358
"Gene7",0.952545294187005,0.999981955022432,-0.00863432849288884,-0.0598226125338487,0.772703785789693,0.991063703624337,0.0418897317509131,0.290475542657279
"Gene8",0.959030570221984,0.999981955022432,-0.00745325465151975,-0.0516390972745178,0.734176342442385,0.991063703624337,0.0492394688811284,0.341555353432711
"Gene9",0.967303803280525,0.999981955022432,-0.00594724869554072,-0.0412044763265051,0.91694211400647,0.997010540963244,0.015130166723458,0.10483687038504
"Gene10",0.960569558387621,0.999981955022432,0.00717305300161645,0.0496976475319933,0.859811049346707,0.996962345947714,-0.02562103038337,-0.177565995494821
"Gene11",0.732084168421224,0.999981955022432,0.0496419498197771,0.344354078693598,0.269179834868396,0.991063703624337,0.159292617279425,1.11788544355178
"Gene12",0.993419794716367,0.999981955022432,0.00119658985557465,0.00829022363779353,0.467858667773855,0.991063703624337,0.105039535033646,0.73178343766612
"Gene13",0.961807529124734,0.999981955022432,0.00694767606674369,0.0481360735515559,0.804915636115064,0.991920224714197,-0.035824622158716,-0.248359686983502
"Gene14",0.79236360360459,0.999981955022432,0.0381802425657056,0.264713490762088,0.329374368307284,0.991063703624337,0.140811495389615,0.985388650976585
"Gene15",0.95168638262497,0.999981955022432,-0.00879079011894329,-0.06090673391922,0.99405456867314,0.998818116694308,0.0010811560073573,0.00749047292040644
"Gene16",0.844703522006934,0.999981955022432,0.0284148279881003,0.196943225331022,0.961766260473993,0.997906536761553,-0.00695518890553769,-0.0481881277985922
